id,root,transliteration,meanings,label
148, سجد, sjd, [], root
149, ابي, Aby, [], root
150, كبر, kbr, [], root
151, سكن, skn, [], root
152, اكل, Akl, [], root
153, رغد, rgd, [], root
154, حيث, Hyv, [], root
155, قرب, qrb, [], root
156, شجر, $jr, [], root
157, زلل, zll, [], root
158, هبط, hbT, [], root
159, عدو, Edw, [], root
160, قرر, qrr, [], root
161, متع, mtE, [], root
162, حين, Hyn, [], root
163, كلم, klm, [], root
164, توب, twb, [], root
165, تبع, tbE, [], root
166, خوف, xwf, [], root
167, حزن, Hzn, [], root
168, ايي, Ayy, [], root
169, صحب, SHb, [], root
170, ذكر, pkr, [], root
171, وفي, wfy, [], root
172, رهب, rhb, [], root
173, اول, Awl, [], root
174, ثمن, vmn, [], root
175, قلل, qll, [], root
176, لبس, lbs, [], root
177, بطل, bTl, [], root
178, زكو, zkw, [], root
179, ركع, rkE, [], root
180, برر, brr, [], root
181, نسي, nsy, [], root
182, تلو, tlw, [], root
183, عقل, Eql, [], root
184, صبر, Sbr, [], root
185, خشع, x$E, [], root
186, ظنن, Znn, [], root
187, فضل, fDl, [], root
188, جزي, jzy, [], root
189, شفع, $fE, [], root
190, اخذ, Axp, [], root
191, عدل, Edl, [], root
192, نصر, nSr, [], root
193, نجو, njw, [], root
194, سوم, swm, [], root
195, سوا, swA, [], root
196, ذبح, pbH, [], root
197, نسو, nsw, [], root
198, بلو, blw, [], root
199, فرق, frq, [], root
200, بحر, bHr, [], root
201, غرق, grq, [], root
202, نظر, nZr, [], root
203, وعد, wEd, [], root
204, ربع, rbE, [], root
205, ليل, lyl, [], root
206, عجل, Ejl, [], root
207, عفو, Efw, [], root
208, شكر, $kr, [], root
209, برا, brA, [], root
210, قتل, qtl, [], root
211, خير, xyr, [], root
212, عند, End, [], root
213, راي, rAy, [], root
214, جهر, jhr, [], root
215, بعث, bEv, [], root
216, ظلل, Zll, [], root
217, غمم, gmm, [], root
218, منن, mnn, [], root
219, سلو, slw, [], root
220, طيب, Tyb, [], root
221, دخل, dxl, [], root
222, قري, qry, [], root
223, بوب, bwb, [], root
224, حطط, HTT, [], root
225, غفر, gfr, [], root
226, خطا, xTA, [], root
227, حسن, Hsn, [], root
228, بدل, bdl, [], root
229, رجز, rjz, [], root
230, سقي, sqy, [], root
231, عصو, ESw, [], root
232, فجر, fjr, [], root
233, ثني, vny, [], root
234, عشر, E$r, [], root
235, عين, Eyn, [], root
236, انس, Ans, [], root
237, شرب, $rb, [], root
238, عثو, Evw, [], root
239, طعم, TEm, [], root
240, وحد, wHd, [], root
241, نبت, nbt, [], root
242, بقل, bql, [], root
243, قثا, qvA, [], root
244, فوم, fwm, [], root
245, عدس, Eds, [], root
246, بصل, bSl, [], root
247, دنو, dnw, [], root
248, مصر, mSr, [], root
249, سال, sAl, [], root
250, ذلل, pll, [], root
251, بوا, bwA, [], root
252, عصي, ESy, [], root
253, هود, hwd, [], root
254, صبا, SbA, [], root
255, اجر, Ajr, [], root
256, رفع, rfE, [], root
257, طور, Twr, [], root
258, قوي, qwy, [], root
259, ولي, wly, [], root
260, سبت, sbt, [], root
261, قرد, qrd, [], root
262, خسا, xsA, [], root
263, نكل, nkl, [], root
264, بين, byn, [], root
265, يدي, ydy, [], root
266, وعظ, wEZ, [], root
267, بقر, bqr, [], root
268, عوذ, Ewp, [], root
269, جهل, jhl, [], root
270, فرض, frD, [], root
271, بكر, bkr, [], root
272, لون, lwn, [], root
273, صفر, Sfr, [], root
274, فقع, fqE, [], root
275, سرر, srr, [], root
276, ثور, vwr, [], root
277, حرث, Hrv, [], root
278, سلم, slm, [], root
279, وشي, w$y, [], root
280, جيا, jyA, [], root
281, درا, drA, [], root
282, قسو, qsw, [], root
283, شدد, $dd, [], root
284, شقق, $qq, [], root
285, خشي, x$y, [], root
286, غفل, gfl, [], root
287, طمع, TmE, [], root
288, حرف, Hrf, [], root
289, حدث, Hdv, [], root
290, فتح, ftH, [], root
291, حجج, Hjj, [], root
292, علن, Eln, [], root
293, امم, Amm, [], root
294, مني, mny, [], root
295, كسب, ksb, [], root
296, مسس, mss, [], root
297, ولد, wld, [], root
298, يتم, ytm, [], root
299, دور, dwr, [], root
300, ظهر, Zhr, [], root
301, اثم, Avm, [], root
302, اسر, Asr, [], root
303, فدي, fdy, [], root
304, حرم, Hrm, [], root
305, خزي, xzy, [], root
306, ردد, rdd, [], root
307, خفف, xff, [], root
308, قفو, qfw, [], root
309, رسل, rsl, [], root
310, ايد, Ayd, [], root
311, روح, rwH, [], root
312, هوي, hwy, [], root
313, غلف, glf, [], root
314, لعن, lEn, [], root
315, عرف, Erf, [], root
316, باس, bAs, [], root
317, بغي, bgy, [], root
318, هون, hwn, [], root
319, وري, wry, [], root
320, خلص, xlS, [], root
321, ابد, Abd, [], root
322, قدم, qdm, [], root
323, وجد, wjd, [], root
324, حرص, HrS, [], root
325, شرك, $rk, [], root
326, ودد, wdd, [], root
327, احد, AHd, [], root
328, عمر, Emr, [], root
329, الف, Alf, [], root
330, سنو, snw, [], root
331, زحزح, zHzH, [], root
332, نبذ, nbp, [], root
333, سحر, sHr, [], root
334, فتن, ftn, [], root
335, مرا, mrA, [], root
336, ضرر, Drr, [], root
337, نفع, nfE, [], root
338, ثوب, vwb, [], root
339, رعي, rEy, [], root
340, اهل, Ahl, [], root
341, خصص, xSS, [], root
342, نسخ, nsx, [], root
343, سبل, sbl, [], root
344, حسد, Hsd, [], root
345, صفح, SfH, [], root
346, هات, hAt, [], root
347, برهن, brhn, [], root
348, وجه, wjh, [], root
349, ليس, lys, [], root
350, منع, mnE, [], root
351, سعي, sEy, [], root
352, خرب, xrb, [], root
353, شرق, $rq, [], root
354, غرب, grb, [], root
355, وسع, wsE, [], root
356, قنت, qnt, [], root
357, بدع, bdE, [], root
358, قضي, qDy, [], root
359, جحم, jHm, [], root
360, رضو, rDw, [], root
361, ملل, mll, [], root
362, تمم, tmm, [], root
363, ذرر, prr, [], root
364, نيل, nyl, [], root
365, بيت, byt, [], root
366, طوف, Twf, [], root
367, عكف, Ekf, [], root
368, بلد, bld, [], root
369, صير, Syr, [], root
370, قعد, qEd, [], root
371, نسك, nsk, [], root
372, عزز, Ezz, [], root
373, رغب, rgb, [], root
374, صفو, Sfw, [], root
375, وصي, wSy, [], root
376, حضر, HDr, [], root
377, اله, Alh, [], root
378, ابو, Abw, [], root
379, حنف, Hnf, [], root
380, سبط, sbT, [], root
381, كفي, kfy, [], root
382, صبغ, Sbg, [], root
383, وسط, wsT, [], root
384, عقب, Eqb, [], root
385, ضيع, DyE, [], root
386, راف, rAf, [], root
387, شطر, $Tr, [], root
388, مري, mry, [], root
389, سبق, sbq, [], root
390, جوع, jwE, [], root
391, نقص, nqS, [], root
392, مول, mwl, [], root
393, جنح, jnH, [], root
394, طوع, TwE, [], root
395, فلك, flk, [], root
396, بثث, bvv, [], root
397, دبب, dbb, [], root
398, صرف, Srf, [], root
399, سحب, sHb, [], root
400, سخر, sxr, [], root
401, حبب, Hbb, [], root
402, سبب, sbb, [], root
403, كرر, krr, [], root
404, حسر, Hsr, [], root
405, حلل, Hll, [], root
406, خطو, xTw, [], root
407, فحش, fH$, [], root
408, لفو, lfw, [], root
409, لحم, lHm, [], root
410, خنزر, xnzr, [], root
411, هلل, hll, [], root
412, بطن, bTn, [], root
413, رقب, rqb, [], root
414, قصص, qSS, [], root
415, حرر, Hrr, [], root
416, انث, Anv, [], root
417, اخو, Axw, [], root
418, ادي, Ady, [], root
419, لبب, lbb, [], root
420, جنف, jnf, [], root
421, صوم, Swm, [], root
422, سفر, sfr, [], root
423, طوق, Twq, [], root
424, شهر, $hr, [], root
425, قرا, qrA, [], root
426, يسر, ysr, [], root
427, عسر, Esr, [], root
428, كمل, kml, [], root
429, جوب, jwb, [], root
430, رشد, r$d, [], root
431, رفث, rfv, [], root
432, خون, xwn, [], root
433, خيط, xyT, [], root
434, بيض, byD, [], root
435, سود, swd, [], root
436, حدد, Hdd, [], root
437, دلو, dlw, [], root
438, وقت, wqt, [], root
439, ثقف, vqf, [], root
440, نهي, nhy, [], root
441, هلك, hlk, [], root
442, حصر, HSr, [], root
443, حلق, Hlq, [], root
444, راس, rAs, [], root
445, بلغ, blg, [], root
446, اذي, Apy, [], root
447, ثلث, vlv, [], root
448, جدل, jdl, [], root
449, زود, zwd, [], root
450, فيض, fyD, [], root
451, نصب, nSb, [], root
452, سرع, srE, [], root
453, حسب, Hsb, [], root
454, حشر, H$r, [], root
455, عجب, Ejb, [], root
456, لدد, ldd, [], root
457, خصم, xSm, [], root
458, نسل, nsl, [], root
459, مهد, mhd, [], root
460, كفف, kff, [], root
461, زين, zyn, [], root
462, زلزل, zlzl, [], root
463, كره, krh, [], root
464, عسي, Esy, [], root
465, شرر, $rr, [], root
466, صدد, Sdd, [], root
467, زيل, zyl, [], root
468, حبط, HbT, [], root
469, هجر, hjr, [], root
470, جهد, jhd, [], root
471, رجو, rjw, [], root
472, خمر, xmr, [], root
473, فكر, fkr, [], root
474, خلط, xlT, [], root
475, عنت, Ent, [], root
476, نكح, nkH, [], root
477, امو, Amw, [], root
478, حيض, HyD, [], root
479, عزل, Ezl, [], root
480, اني, Any, [], root
481, يمن, ymn, [], root
482, لغو, lgw, [], root
483, حلم, Hlm, [], root
484, الو, Alw, [], root
485, ربص, rbS, [], root
486, فيا, fyA, [], root
487, عزم, Ezm, [], root
488, طلق, Tlq, [], root
489, بعل, bEl, [], root
490, رجل, rjl, [], root
491, درج, drj, [], root
492, مرر, mrr, [], root
493, مسك, msk, [], root
494, سرح, srH, [], root
495, اجل, Ajl, [], root
496, عضل, EDl, [], root
497, رضع, rDE, [], root
498, كسو, ksw, [], root
499, كلف, klf, [], root
500, ورث, wrv, [], root
501, فصل, fSl, [], root
502, شور, $wr, [], root
503, وذر, wpr, [], root
504, خبر, xbr, [], root
505, خطب, xTb, [], root
506, كنن, knn, [], root
507, عقد, Eqd, [], root
508, قتر, qtr, [], root
509, نصف, nSf, [], root
510, حفظ, HfZ, [], root
511, ركب, rkb, [], root
512, قرض, qrD, [], root
513, ضعف, DEf, [], root
514, قبض, qbD, [], root
515, بسط, bsT, [], root
516, ملا, mlA, [], root
517, جسم, jsm, [], root
518, بقي, bqy, [], root
519, حمل, Hml, [], root
520, جند, jnd, [], root
521, غرف, grf, [], root
522, جوز, jwz, [], root
523, فاي, fAy, [], root
524, غلب, glb, [], root
525, برز, brz, [], root
526, فرغ, frg, [], root
527, ثبت, vbt, [], root
528, هزم, hzm, [], root
529, دفع, dfE, [], root
530, بيع, byE, [], root
531, خلل, xll, [], root
532, وسن, wsn, [], root
533, نوم, nwm, [], root
534, كرس, krs, [], root
535, اود, Awd, [], root
536, علو, Elw, [], root
537, غوي, gwy, [], root
538, عرو, Erw, [], root
539, فصم, fSm, [], root
540, شمس, $ms, [], root
541, بهت, bht, [], root
542, خوي, xwy, [], root
543, عرش, Er$, [], root
544, ماي, mAy, [], root
545, عوم, Ewm, [], root
546, لبث, lbv, [], root
547, سنه, snh, [], root
548, حمر, Hmr, [], root
549, نشز, n$z, [], root
550, طمن, Tmn, [], root
551, طير, Tyr, [], root
552, صور, Swr, [], root
553, جبل, jbl, [], root
554, جزا, jzA, [], root
555, سنبل, snbl, [], root
556, غني, gny, [], root
557, ترب, trb, [], root
558, وبل, wbl, [], root
559, صلد, Sld, [], root
560, ربو, rbw, [], root
561, طلل, Tll, [], root
562, نخل, nxl, [], root
563, عنب, Enb, [], root
564, عصر, ESr, [], root
565, حرق, Hrq, [], root
566, يمم, ymm, [], root
567, خبث, xbv, [], root
568, غمض, gmD, [], root
569, فقر, fqr, [], root
570, خفي, xfy, [], root
571, عفف, Eff, [], root
572, لحف, lHf, [], root
573, خبط, xbT, [], root
574, سلف, slf, [], root
575, عود, Ewd, [], root
576, محق, mHq, [], root
577, حرب, Hrb, [], root
578, بخس, bxs, [], root
579, سام, sAm, [], root
580, صغر, Sgr, [], root
581, قسط, qsT, [], root
582, رهن, rhn, [], root
583, اصر, ASr, [], root
584, نقم, nqm, [], root
585, زيغ, zyg, [], root
586, رسخ, rsx, [], root
587, وهب, whb, [], root
588, لدن, ldn, [], root
589, داب, dAb, [], root
590, ذنب, pnb, [], root
591, عبر, Ebr, [], root
592, شهو, $hw, [], root
593, قنطر, qnTr, [], root
594, فضض, fDD, [], root
595, خيل, xyl, [], root
596, اوب, Awb, [], root
597, غرر, grr, [], root
598, فري, fry, [], root
599, نزع, nzE, [], root
600, ولج, wlj, [], root
601, صدر, Sdr, [], root
602, امد, Amd, [], root
603, وضع, wDE, [], root
604, رجم, rjm, [], root
605, كفل, kfl, [], root
606, ندو, ndw, [], root
607, غلم, glm, [], root
608, عقر, Eqr, [], root
609, رمز, rmz, [], root
610, عشو, E$w, [], root
611, وحي, wHy, [], root
612, قلم, qlm, [], root
613, كهل, khl, [], root
614, طين, Tyn, [], root
615, هيا, hyA, [], root
616, نفخ, nfx, [], root
617, كمه, kmh, [], root
618, برص, brS, [], root
619, ذخر, pxr, [], root
620, حسس, Hss, [], root
621, حور, Hwr, [], root
622, مكر, mkr, [], root
623, بهل, bhl, [], root
624, دنر, dnr, [], root
625, دوم, dwm, [], root
626, لوي, lwy, [], root
627, لسن, lsn, [], root
628, درس, drs, [], root
629, برك, brk, [], root
630, عوج, Ewj, [], root
631, عصم, ESm, [], root
632, حبل, Hbl, [], root
633, صبح, SbH, [], root
634, شفو, $fw, [], root
635, حفر, Hfr, [], root
636, نقذ, nqp, [], root
637, نكر, nkr, [], root
638, ذوق, pwq, [], root
639, دبر, dbr, [], root
640, صرر, Srr, [], root
641, خبل, xbl, [], root
642, بغض, bgD, [], root
643, فوه, fwh, [], root
644, عضض, EDD, [], root
645, نمل, nml, [], root
646, غيظ, gyZ, [], root
647, فرح, frH, [], root
648, كيد, kyd, [], root
649, غدو, gdw, [], root
650, همم, hmm, [], root
651, فشل, f$l, [], root
652, وكل, wkl, [], root
653, فور, fwr, [], root
654, خمس, xms, [], root
655, طرف, Trf, [], root
656, كبت, kbt, [], root
657, خيب, xyb, [], root
658, كظم, kZm, [], root
659, سنن, snn, [], root
660, سير, syr, [], root
661, وهن, whn, [], root
662, قرح, qrH, [], root
663, دول, dwl, [], root
664, محص, mHS, [], root
665, كين, kyn, [], root
666, سرف, srf, [], root
667, رعب, rEb, [], root
668, سلط, slT, [], root
669, اوي, Awy, [], root
670, ثوي, vwy, [], root
671, صعد, SEd, [], root
672, فوت, fwt, [], root
673, نعس, nEs, [], root
674, ضجع, DjE, [], root
675, غزو, gzw, [], root
676, لين, lyn, [], root
677, فظظ, fZZ, [], root
678, غلظ, glZ, [], root
679, خذل, xpl, [], root
680, غلل, gll, [], root
681, سخط, sxT, [], root
682, لحق, lHq, [], root
683, حظظ, HZZ, [], root
684, ملو, mlw, [], root
685, ميز, myz, [], root
686, طلع, TlE, [], root
687, جبي, jby, [], root
688, بخل, bxl, [], root
689, زبر, zbr, [], root
690, فوز, fwz, [], root
691, جنب, jnb, [], root
692, ربط, rbT, [], root
693, حوب, Hwb, [], root
694, عول, Ewl, [], root
695, نحل, nHl, [], root
696, هنا, hnA, [], root
697, بدر, bdr, [], root
698, قسم, qsm, [], root
699, سدد, sdd, [], root
700, صلي, Sly, [], root
701, سعر, sEr, [], root
702, سدس, sds, [], root
703, دري, dry, [], root
704, عتد, Etd, [], root
705, فضو, fDw, [], root
706, مقت, mqt, [], root
707, عمم, Emm, [], root
708, خول, xwl, [], root
709, صلب, Slb, [], root
710, حصن, HSn, [], root
711, سفح, sfH, [], root
712, طول, Twl, [], root
713, فتي, fty, [], root
714, خدن, xdn, [], root
715, ميل, myl, [], root
716, كرم, krm, [], root
717, وفق, wfq, [], root
718, جور, jwr, [], root
719, فخر, fxr, [], root
720, قرن, qrn, [], root
721, ثقل, vql, [], root
722, سكر, skr, [], root
723, غسل, gsl, [], root
724, غوط, gwT, [], root
725, لمس, lms, [], root
726, مسح, msH, [], root
727, طعن, TEn, [], root
728, طمس, Tms, [], root
729, فتل, ftl, [], root
730, جبت, jbt, [], root
731, نقر, nqr, [], root
732, نضج, nDj, [], root
733, جلد, jld, [], root
734, زعم, zEm, [], root
735, حلف, Hlf, [], root
736, حرج, Hrj, [], root
737, رفق, rfq, [], root
738, نفر, nfr, [], root
739, ثبي, vby, [], root
740, بطا, bTA, [], root
741, درك, drk, [], root
742, برج, brj, [], root
743, شيد, $yd, [], root
744, فقه, fqh, [], root
745, ذيع, pyE, [], root
746, نبط, nbT, [], root
747, حرض, HrD, [], root
748, قوت, qwt, [], root
749, ركس, rks, [], root
750, ودي, wdy, [], root
751, عمد, Emd, [], root
752, غنم, gnm, [], root
753, رغم, rgm, [], root
754, وقع, wqE, [], root
755, سلح, slH, [], root
756, مطر, mTr, [], root
757, رمي, rmy, [], root
758, مرد, mrd, [], root
759, بتك, btk, [], root
760, حيص, HyS, [], root
761, شحح, $HH, [], root
762, علق, Elq, [], root
763, خوض, xwD, [], root
764, حوذ, Hwp, [], root
765, كسل, ksl, [], root
766, ذبذب, pbpb, [], root
767, سفل, sfl, [], root
768, طبع, TbE, [], root
769, شكك, $kk, [], root
770, طرق, Trq, [], root
771, غلو, glw, [], root
772, نكف, nkf, [], root
773, بهم, bhm, [], root
774, صيد, Syd, [], root
775, قلد, qld, [], root
776, جرم, jrm, [], root
777, شنا, $nA, [], root
778, خنق, xnq, [], root
779, وقذ, wqp, [], root
780, ردي, rdy, [], root
781, نطح, nTH, [], root
782, ذكو, pkw, [], root
783, زلم, zlm, [], root
784, ياس, yAs, [], root
785, خمص, xmS, [], root
786, جرح, jrH, [], root
787, كلب, klb, [], root
788, كعب, kEb, [], root
789, نقب, nqb, [], root
790, عزر, Ezr, [], root
791, غرو, grw, [], root
792, صنع, SnE, [], root
793, فتر, ftr, [], root
794, جبر, jbr, [], root
795, تيه, tyh, [], root
796, اسو, Asw, [], root
797, بحث, bHv, [], root
798, عجز, Ejz, [], root
799, ندم, ndm, [], root
800, نفي, nfy, [], root
801, وسل, wsl, [], root
802, سرق, srq, [], root
803, سحت, sHt, [], root
804, حبر, Hbr, [], root
805, انف, Anf, [], root
806, اثر, Avr, [], root
807, همن, hmn, [], root
808, شرع, $rE, [], root
809, نهج, nhj, [], root
810, لوم, lwm, [], root
811, حزب, Hzb, [], root
812, لعب, lEb, [], root
813, طفا, TfA, [], root
814, قصد, qSd, [], root
815, افك, Afk, [], root
816, قسس, qss, [], root
817, دمع, dmE, [], root
818, رجس, rjs, [], root
819, رمح, rmH, [], root
820, سيب, syb, [], root
821, حمي, Hmy, [], root
822, حبس, Hbs, [], root
823, عثر, Evr, [], root
824, ميد, myd, [], root
825, مكن, mkn, [], root
826, درر, drr, [], root
827, نشا, n$A, [], root
828, قرطس, qrTs, [], root
829, حيق, Hyq, [], root
830, فطر, fTr, [], root
831, كشف, k$f, [], root
832, قهر, qhr, [], root
833, وقر, wqr, [], root
834, سطر, sTr, [], root
835, ناي, nAy, [], root
836, وقف, wqf, [], root
837, سوع, swE, [], root
838, بغت, bgt, [], root
839, فرط, frT, [], root
840, وزر, wzr, [], root
841, لهو, lhw, [], root
842, جحد, jHd, [], root
843, ضرع, DrE, [], root
844, بلس, bls, [], root
845, صدف, Sdf, [], root
846, خزن, xzn, [], root
847, طرد, Trd, [], root
848, سقط, sqT, [], root
849, ورق, wrq, [], root
850, رطب, rTb, [], root
851, يبس, ybs, [], root
852, كرب, krb, [], root
853, شيع, $yE, [], root
854, بسل, bsl, [], root
855, حمم, Hmm, [], root
856, حير, Hyr, [], root
857, صنم, Snm, [], root
858, كوكب, kwkb, [], root
859, افل, Afl, [], root
860, قمر, qmr, [], root
861, بزغ, bzg, [], root
862, قدو, qdw, [], root
863, غمر, gmr, [], root
864, فرد, frd, [], root
865, فلق, flq, [], root
866, نوي, nwy, [], root
867, نجم, njm, [], root
868, ودع, wdE, [], root
869, خضر, xDr, [], root
870, قنو, qnw, [], root
871, زيت, zyt, [], root
872, رمن, rmn, [], root
873, ينع, ynE, [], root
874, خرق, xrq, [], root
875, وصف, wSf, [], root
876, لطف, lTf, [], root
877, فاد, fAd, [], root
878, زخرف, zxrf, [], root
879, صغو, Sgw, [], root
880, قرف, qrf, [], root
881, خرص, xrS, [], root
882, شرح, $rH, [], root
883, ضيق, Dyq, [], root
884, ذرا, prA, [], root
885, زرع, zrE, [], root
886, حصد, HSd, [], root
887, ضان, DAn, [], root
888, معز, mEz, [], root
889, شمل, $ml, [], root
890, ابل, Abl, [], root
891, ظفر, Zfr, [], root
892, شحم, $Hm, [], root
893, حوي, Hwy, [], root
894, لمم, lmm, [], root
895, ملق, mlq, [], root
896, كيل, kyl, [], root
897, وزن, wzn, [], root
898, قيل, qyl, [], root
899, عيش, Ey$, [], root
900, ذام, pAm, [], root
901, دحر, dHr, [], root
902, وسوس, wsws, [], root
903, نصح, nSH, [], root
904, دلل, dll, [], root
905, طفق, Tfq, [], root
906, خصف, xSf, [], root
907, ريش, ry$, [], root
908, بدا, bdA, [], root
909, جمل, jml, [], root
910, سمم, smm, [], root
911, حجب, Hjb, [], root
912, ستت, stt, [], root
913, طلب, Tlb, [], root
914, حثث, Hvv, [], root
915, سوق, swq, [], root
916, نكد, nkd, [], root
917, نوق, nwq, [], root
918, سهل, shl, [], root
919, قصر, qSr, [], root
920, نحت, nHt, [], root
921, عتو, Etw, [], root
922, رجف, rjf, [], root
923, جثم, jvm, [], root
924, غبر, gbr, [], root
925, ضحو, DHw, [], root
926, ثعب, vEb, [], root
927, مدن, mdn, [], root
928, لقف, lqf, [], root
929, جرد, jrd, [], root
930, قمل, qml, [], root
931, ضفدع, DfdE, [], root
932, نكث, nkv, [], root
933, دمر, dmr, [], root
934, تبر, tbr, [], root
935, جلو, jlw, [], root
936, دكك, dkk, [], root
937, خرر, xrr, [], root
938, لوح, lwH, [], root
939, حلي, Hly, [], root
940, جسد, jsd, [], root
941, خور, xwr, [], root
942, اسف, Asf, [], root
943, جرر, jrr, [], root
944, شمت, $mt, [], root
945, سكت, skt, [], root
946, بجس, bjs, [], root
947, حوت, Hwt, [], root
948, عذر, Epr, [], root
949, نتق, ntq, [], root
950, سلخ, slx, [], root
951, لهث, lhv, [], root
952, لحد, lHd, [], root
953, متن, mtn, [], root
954, رسو, rsw, [], root
955, حفو, Hfw, [], root
956, صمت, Smt, [], root
957, بطش, bT$, [], root
958, نزغ, nzg, [], root
959, نصت, nSt, [], root
960, اصل, ASl, [], root
961, نفل, nfl, [], root
962, وجل, wjl, [], root
963, شوك, $wk, [], root
964, غوث, gwv, [], root
965, ردف, rdf, [], root
966, عنق, Enq, [], root
967, بنن, bnn, [], root
968, زحف, zHf, [], root
969, حوز, Hwz, [], root
970, مكو, mkw, [], root
971, صدي, Sdy, [], root
972, ركم, rkm, [], root
973, مضي, mDy, [], root
974, قصو, qSw, [], root
975, بطر, bTr, [], root
976, نكص, nkS, [], root
977, شرد, $rd, [], root
978, ثخن, vxn, [], root
979, سيح, syH, [], root
980, رصد, rSd, [], root
981, الل, All, [], root
982, ذمم, pmm, [], root
983, شفي, $fy, [], root
984, كسد, ksd, [], root
985, وطن, wTn, [], root
986, رحب, rHb, [], root
987, نجس, njs, [], root
988, عيل, Eyl, [], root
989, عطو, ETw, [], root
990, ضها, DhA, [], root
991, كنز, knz, [], root
992, كوي, kwy, [], root
993, جبه, jbh, [], root
994, نسا, nsA, [], root
995, وطا, wTA, [], root
996, غور, gwr, [], root
997, ثبط, vbT, [], root
998, زهق, zhq, [], root
999, لجا, ljA, [], root
1000, جمح, jmH, [], root
1001, لمز, lmz, [], root
1002, غرم, grm, [], root
